year,sealevel
1880,0
1881,5.6
1882,-11.2
1883,-5.9
1884,15
1885,13.5
1886,11.1
1887,5.5
1888,7.6
1889,9.2
1890,11.2
1891,9.5
1892,12.7
1893,17.4
1894,7.7
1895,19.5
1896,11.9
1897,17.1
1898,26.5
1899,34
1900,28.6
1901,28.2
1902,32.8
1903,40.8
1904,30.5
1905,25
1906,31.8
1907,30.4
1908,27.9
1909,32.4
1910,32.3
1911,40.6
1912,37.5
1913,39.3
1914,45.6
1915,53.5
1916,51.6
1917,47.1
1918,45.5
1919,47.1
1920,48.4
1921,50.5
1922,49.6
1923,50.8
1924,43.5
1925,45.5
1926,52
1927,50.9
1928,47
1929,48.4
1930,52.4
1931,52
1932,57.7
1933,62
1934,56.6
1935,62.2
1936,58.3
1937,64
1938,66.6
1939,71.8
1940,66.5
1941,78.7
1942,78.7
1943,78.7
1944,72.3
1945,75.1
1946,82.6
1947,85.7
1948,90.5
1949,89.2
1950,91.4
1951,100.9
1952,98.3
1953,102.7
1954,99.8
1955,100.7
1956,95.6
1957,109
1958,110.4
1959,110.7
1960,114.4
1961,120.6
1962,115.4
1963,113.8
1964,105.9
1965,117.1
1966,111.7
1967,113.1
1968,113.9
1969,120.7
1970,118.8
1971,124
1972,133.1
1973,127.1
1974,139
1975,137.4
1976,136.4
1977,134.7
1978,141.1
1979,136.2
1980,142.2
1981,154.6
1982,148.8
1983,157.2
1984,156.3
1985,146
1986,146.6
1987,147.2
1988,151.9
1989,156.4
1990,158.7
1991,161.2
1992,161.9
1993,160.1
1994,165.3
1995,168.2
1996,172.3
1997,179.3
1998,169.4
1999,177.9
2000,179.2
2001,184.7
2002,187.1
2003,196.3
2004,195.9
2005,196
2006,200.3
2007,202.2
2008,210.9
2009,216.7
2010,224.4
2011,226
2012,234.8
2013,226.4
