year,seatemgap
1891,-4
1892,-5
1893,-5
1894,-5
1895,-4
1896,-3
1897,-3
1898,-5
1899,-4
1900,-3
1901,-4
1902,-5
1903,-6
1904,-6
1905,-5
1906,-5
1907,-5
1908,-6
1909,-7
1910,-7
1911,-7
1912,-5
1913,-6
1914,-5
1915,-4
1916,-5
1917,-5
1918,-4
1919,-4
1920,-4
1921,-4
1922,-5
1923,-5
1924,-4
1925,-4
1926,-3
1927,-4
1928,-4
1929,-5
1930,-3
1931,-3
1932,-3
1933,-4
1934,-4
1935,-4
1936,-4
1937,-3
1938,-4
1939,-3
1940,-2
1941,-2
1942,-2
1943,-2
1944,-1
1945,-2
1946,-4
1947,-4
1948,-4
1949,-4
1950,-4
1951,-3
1952,-2
1953,-2
1954,-4
1955,-4
1956,-4
1957,-2
1958,-2
1959,-2
1960,-2
1961,-2
1962,-2
1963,-2
1964,-4
1965,-3
1966,-3
1967,-3
1968,-3
1969,-1
1970,-2
1971,-3
1972,-1
1973,-2
1974,-3
1975,-3
1976,-3
1977,-2
1978,-2
1979,-1
1980,-1
1981,-1
1982,-1
1983,-1
1984,-1
1985,-2
1986,-1
1987,0
1988,-1
1989,-1
1990,0
1991,0
1992,-1
1993,-1
1994,-1
1995,0
1996,0
1997,1
1998,1
1999,-1
2000,0
2001,1
2002,1
2003,1
2004,1
2005,1
2006,1
2007,0
2008,0
2009,1
2010,1
2011,0
2012,1
2013,1
2014,2
2015,3
2016,3
2017,3
2018,2
2019,3
